_mm256_add_pd,VADDPD
_mm256_maskz_min_epi16,VPMINSW
_mm512_mask_min_epi16,VPMINSW
_mm512_maskz_min_epi16,VPMINSW
_mm512_min_epi16,VPMINSW
_mm_mask_min_epi16,VPMINSW
_mm_maskz_min_epi16,VPMINSW
_mm256_mask_min_epu8,VPMINUB
_mm256_maskz_min_epu8,VPMINUB
_mm512_mask_min_epu8,VPMINUB
_mm512_maskz_min_epu8,VPMINUB
_mm512_min_epu8,VPMINUB
_mm_mask_min_epu8,VPMINUB
_mm_maskz_min_epu8,VPMINUB
_mm256_mask_min_epu16,VPMINUW
_mm256_maskz_min_epu16,VPMINUW
_mm512_mask_min_epu16,VPMINUW
_mm512_maskz_min_epu16,VPMINUW
_mm512_min_epu16,VPMINUW
_mm_mask_min_epu16,VPMINUW
_mm_maskz_min_epu16,VPMINUW
_mm256_movepi8_mask,VPMOVB2M
_mm512_movepi8_mask,VPMOVB2M
_mm_movepi8_mask,VPMOVB2M
_mm256_movm_epi8,VPMOVM2B
_mm512_movm_epi8,VPMOVM2B
_mm_movm_epi8,VPMOVM2B
_mm256_movm_epi16,VPMOVM2W
_mm512_movm_epi16,VPMOVM2W
_mm_movm_epi16,VPMOVM2W
_mm256_cvtsepi16_epi8,VPMOVSWB
_mm256_mask_cvtsepi16_epi8,VPMOVSWB
_mm256_maskz_cvtsepi16_epi8,VPMOVSWB
_mm512_cvtsepi16_epi8,VPMOVSWB
_mm512_mask_cvtsepi16_epi8,VPMOVSWB
_mm512_maskz_cvtsepi16_epi8,VPMOVSWB
_mm_cvtsepi16_epi8,VPMOVSWB
_mm_mask_cvtsepi16_epi8,VPMOVSWB
_mm_maskz_cvtsepi16_epi8,VPMOVSWB
_mm256_mask_cvtepi8_epi16,VPMOVSXBW
_mm256_maskz_cvtepi8_epi16,VPMOVSXBW
_mm512_cvtepi8_epi16,VPMOVSXBW
_mm512_mask_cvtepi8_epi16,VPMOVSXBW
_mm512_maskz_cvtepi8_epi16,VPMOVSXBW
_mm_mask_cvtepi8_epi16,VPMOVSXBW
_mm_maskz_cvtepi8_epi16,VPMOVSXBW
_mm256_cvtusepi16_epi8,VPMOVUSWB
_mm256_mask_cvtusepi16_epi8,VPMOVUSWB
_mm256_maskz_cvtusepi16_epi8,VPMOVUSWB
_mm512_cvtusepi16_epi8,VPMOVUSWB
_mm512_mask_cvtusepi16_epi8,VPMOVUSWB
_mm512_maskz_cvtusepi16_epi8,VPMOVUSWB
_mm_cvtusepi16_epi8,VPMOVUSWB
_mm_mask_cvtusepi16_epi8,VPMOVUSWB
_mm_maskz_cvtusepi16_epi8,VPMOVUSWB
_mm256_movepi16_mask,VPMOVW2M
_mm512_movepi16_mask,VPMOVW2M
_mm_movepi16_mask,VPMOVW2M
_mm256_cvtepi16_epi8,VPMOVWB
_mm256_mask_cvtepi16_epi8,VPMOVWB
_mm256_maskz_cvtepi16_epi8,VPMOVWB
_mm512_cvtepi16_epi8,VPMOVWB
_mm512_mask_cvtepi16_epi8,VPMOVWB
_mm512_maskz_cvtepi16_epi8,VPMOVWB
_mm_cvtepi16_epi8,VPMOVWB
_mm_mask_cvtepi16_epi8,VPMOVWB
_mm_maskz_cvtepi16_epi8,VPMOVWB
_mm256_mask_cvtepu8_epi16,VPMOVZXBW
_mm256_maskz_cvtepu8_epi16,VPMOVZXBW
_mm512_cvtepu8_epi16,VPMOVZXBW
_mm512_mask_cvtepu8_epi16,VPMOVZXBW
_mm512_maskz_cvtepu8_epi16,VPMOVZXBW
_mm_mask_cvtepu8_epi16,VPMOVZXBW
_mm_maskz_cvtepu8_epi16,VPMOVZXBW
_mm256_mask_mulhrs_epi16,VPMULHRSW
_mm256_maskz_mulhrs_epi16,VPMULHRSW
_mm512_mask_mulhrs_epi16,VPMULHRSW
_mm512_maskz_mulhrs_epi16,VPMULHRSW
_mm512_mulhrs_epi16,VPMULHRSW
_mm_mask_mulhrs_epi16,VPMULHRSW
_mm_maskz_mulhrs_epi16,VPMULHRSW
_mm256_mask_mulhi_epu16,VPMULHUW
_mm256_maskz_mulhi_epu16,VPMULHUW
_mm512_mask_mulhi_epu16,VPMULHUW
_mm512_maskz_mulhi_epu16,VPMULHUW
_mm512_mulhi_epu16,VPMULHUW
_mm_mask_mulhi_epu16,VPMULHUW
_mm_maskz_mulhi_epu16,VPMULHUW
_mm256_mask_mulhi_epi16,VPMULHW
_mm256_maskz_mulhi_epi16,VPMULHW
_mm512_mask_mulhi_epi16,VPMULHW
_mm512_maskz_mulhi_epi16,VPMULHW
_mm512_mulhi_epi16,VPMULHW
_mm_mask_mulhi_epi16,VPMULHW
_mm_maskz_mulhi_epi16,VPMULHW
_mm256_mask_mullo_epi16,VPMULLW
_mm256_maskz_mullo_epi16,VPMULLW
_mm512_mask_mullo_epi16,VPMULLW
_mm512_maskz_mullo_epi16,VPMULLW
_mm512_mullo_epi16,VPMULLW
_mm_mask_mullo_epi16,VPMULLW
_mm_maskz_mullo_epi16,VPMULLW
_mm512_sad_epu8,VPSADBW
_mm256_mask_shuffle_epi8,VPSHUFB
_mm256_maskz_shuffle_epi8,VPSHUFB
_mm512_mask_shuffle_epi8,VPSHUFB
_mm512_maskz_shuffle_epi8,VPSHUFB
_mm512_shuffle_epi8,VPSHUFB
_mm_mask_shuffle_epi8,VPSHUFB
_mm_maskz_shuffle_epi8,VPSHUFB
_mm256_mask_shufflehi_epi16,VPSHUFHW
_mm256_maskz_shufflehi_epi16,VPSHUFHW
_mm512_mask_shufflehi_epi16,VPSHUFHW
_mm512_maskz_shufflehi_epi16,VPSHUFHW
_mm512_shufflehi_epi16,VPSHUFHW
_mm_mask_shufflehi_epi16,VPSHUFHW
_mm_maskz_shufflehi_epi16,VPSHUFHW
_mm256_mask_shufflelo_epi16,VPSHUFLW
_mm256_maskz_shufflelo_epi16,VPSHUFLW
_mm512_mask_shufflelo_epi16,VPSHUFLW
_mm512_maskz_shufflelo_epi16,VPSHUFLW
_mm512_shufflelo_epi16,VPSHUFLW
_mm_mask_shufflelo_epi16,VPSHUFLW
_mm_maskz_shufflelo_epi16,VPSHUFLW
_mm512_bslli_epi128,VPSLLDQ
_mm256_mask_sllv_epi16,VPSLLVW
_mm256_maskz_sllv_epi16,VPSLLVW
_mm256_sllv_epi16,VPSLLVW
_mm512_mask_sllv_epi16,VPSLLVW
_mm512_maskz_sllv_epi16,VPSLLVW
_mm512_sllv_epi16,VPSLLVW
_mm_mask_sllv_epi16,VPSLLVW
_mm_maskz_sllv_epi16,VPSLLVW
_mm_sllv_epi16,VPSLLVW
_mm256_mask_sll_epi16,VPSLLW
_mm256_mask_slli_epi16,VPSLLW
_mm256_maskz_sll_epi16,VPSLLW
_mm256_maskz_slli_epi16,VPSLLW
_mm512_mask_sll_epi16,VPSLLW
_mm512_mask_slli_epi16,VPSLLW
_mm512_maskz_sll_epi16,VPSLLW
_mm512_maskz_slli_epi16,VPSLLW
_mm512_sll_epi16,VPSLLW
_mm512_slli_epi16,VPSLLW
_mm_mask_sll_epi16,VPSLLW
_mm_mask_slli_epi16,VPSLLW
_mm_maskz_sll_epi16,VPSLLW
_mm_maskz_slli_epi16,VPSLLW
_mm256_mask_srav_epi16,VPSRAVW
_mm256_maskz_srav_epi16,VPSRAVW
_mm256_srav_epi16,VPSRAVW
_mm512_mask_srav_epi16,VPSRAVW
_mm512_maskz_srav_epi16,VPSRAVW
_mm512_srav_epi16,VPSRAVW
_mm_mask_srav_epi16,VPSRAVW
_mm_maskz_srav_epi16,VPSRAVW
_mm_srav_epi16,VPSRAVW
_mm256_mask_sra_epi16,VPSRAW
_mm256_mask_srai_epi16,VPSRAW
_mm256_maskz_sra_epi16,VPSRAW
_mm256_maskz_srai_epi16,VPSRAW
_mm512_mask_sra_epi16,VPSRAW
_mm512_mask_srai_epi16,VPSRAW
_mm512_maskz_sra_epi16,VPSRAW
_mm512_maskz_srai_epi16,VPSRAW
_mm512_sra_epi16,VPSRAW
_mm512_srai_epi16,VPSRAW
_mm_mask_sra_epi16,VPSRAW
_mm_mask_srai_epi16,VPSRAW
_mm_maskz_sra_epi16,VPSRAW
_mm_maskz_srai_epi16,VPSRAW
_mm512_bsrli_epi128,VPSRLDQ
_mm256_mask_srlv_epi16,VPSRLVW
_mm256_maskz_srlv_epi16,VPSRLVW
_mm256_srlv_epi16,VPSRLVW
_mm512_mask_srlv_epi16,VPSRLVW
_mm512_maskz_srlv_epi16,VPSRLVW
_mm512_srlv_epi16,VPSRLVW
_mm_mask_srlv_epi16,VPSRLVW
_mm_maskz_srlv_epi16,VPSRLVW
_mm_srlv_epi16,VPSRLVW
_mm256_mask_srl_epi16,VPSRLW
_mm256_mask_srli_epi16,VPSRLW
_mm256_maskz_srl_epi16,VPSRLW
_mm256_maskz_srli_epi16,VPSRLW
_mm512_mask_srl_epi16,VPSRLW
_mm512_mask_srli_epi16,VPSRLW
_mm512_maskz_srl_epi16,VPSRLW
_mm512_maskz_srli_epi16,VPSRLW
_mm512_srl_epi16,VPSRLW
_mm512_srli_epi16,VPSRLW
_mm_mask_srl_epi16,VPSRLW
_mm_mask_srli_epi16,VPSRLW
_mm_maskz_srl_epi16,VPSRLW
_mm_maskz_srli_epi16,VPSRLW
_mm256_mask_sub_epi8,VPSUBB
_mm256_maskz_sub_epi8,VPSUBB
_mm512_mask_sub_epi8,VPSUBB
_mm512_maskz_sub_epi8,VPSUBB
_mm512_sub_epi8,VPSUBB
_mm_mask_sub_epi8,VPSUBB
_mm_maskz_sub_epi8,VPSUBB
_mm256_mask_subs_epi8,VPSUBSB
_mm256_maskz_subs_epi8,VPSUBSB
_mm512_mask_subs_epi8,VPSUBSB
_mm512_maskz_subs_epi8,VPSUBSB
_mm512_subs_epi8,VPSUBSB
_mm_mask_subs_epi8,VPSUBSB
_mm_maskz_subs_epi8,VPSUBSB
_mm256_mask_subs_epi16,VPSUBSW
_mm256_maskz_subs_epi16,VPSUBSW
_mm512_mask_subs_epi16,VPSUBSW
_mm512_maskz_subs_epi16,VPSUBSW
_mm512_subs_epi16,VPSUBSW
_mm_mask_subs_epi16,VPSUBSW
_mm_maskz_subs_epi16,VPSUBSW
_mm256_mask_subs_epu8,VPSUBUSB
_mm256_maskz_subs_epu8,VPSUBUSB
_mm512_mask_subs_epu8,VPSUBUSB
_mm512_maskz_subs_epu8,VPSUBUSB
_mm512_subs_epu8,VPSUBUSB
_mm_mask_subs_epu8,VPSUBUSB
_mm_maskz_subs_epu8,VPSUBUSB
_mm256_mask_subs_epu16,VPSUBUSW
_mm256_maskz_subs_epu16,VPSUBUSW
_mm512_mask_subs_epu16,VPSUBUSW
_mm512_maskz_subs_epu16,VPSUBUSW
_mm512_subs_epu16,VPSUBUSW
_mm_mask_subs_epu16,VPSUBUSW
_mm_maskz_subs_epu16,VPSUBUSW
_mm256_mask_sub_epi16,VPSUBW
_mm256_maskz_sub_epi16,VPSUBW
_mm512_mask_sub_epi16,VPSUBW
_mm512_maskz_sub_epi16,VPSUBW
_mm512_sub_epi16,VPSUBW
_mm_mask_sub_epi16,VPSUBW
_mm_maskz_sub_epi16,VPSUBW
_mm256_mask_test_epi8_mask,VPTESTMB
_mm256_test_epi8_mask,VPTESTMB
_mm512_mask_test_epi8_mask,VPTESTMB
_mm512_test_epi8_mask,VPTESTMB
_mm_mask_test_epi8_mask,VPTESTMB
_mm_test_epi8_mask,VPTESTMB
_mm256_mask_test_epi16_mask,VPTESTMW
_mm256_test_epi16_mask,VPTESTMW
_mm512_mask_test_epi16_mask,VPTESTMW
_mm512_test_epi16_mask,VPTESTMW
_mm_mask_test_epi16_mask,VPTESTMW
_mm_test_epi16_mask,VPTESTMW
_mm256_mask_testn_epi8_mask,VPTESTNMB
_mm256_testn_epi8_mask,VPTESTNMB
_mm512_mask_testn_epi8_mask,VPTESTNMB
_mm512_testn_epi8_mask,VPTESTNMB
_mm_mask_testn_epi8_mask,VPTESTNMB
_mm_testn_epi8_mask,VPTESTNMB
_mm256_mask_testn_epi16_mask,VPTESTNMW
_mm256_testn_epi16_mask,VPTESTNMW
_mm512_mask_testn_epi16_mask,VPTESTNMW
_mm512_testn_epi16_mask,VPTESTNMW
_mm_mask_testn_epi16_mask,VPTESTNMW
_mm_testn_epi16_mask,VPTESTNMW
_mm256_mask_unpackhi_epi8,VPUNPCKHBW
_mm256_maskz_unpackhi_epi8,VPUNPCKHBW
_mm512_mask_unpackhi_epi8,VPUNPCKHBW
_mm512_maskz_unpackhi_epi8,VPUNPCKHBW
_mm512_unpackhi_epi8,VPUNPCKHBW
_mm_mask_unpackhi_epi8,VPUNPCKHBW
_mm_maskz_unpackhi_epi8,VPUNPCKHBW
_mm256_mask_unpackhi_epi16,VPUNPCKHWD
_mm256_maskz_unpackhi_epi16,VPUNPCKHWD
_mm512_mask_unpackhi_epi16,VPUNPCKHWD
_mm512_maskz_unpackhi_epi16,VPUNPCKHWD
_mm512_unpackhi_epi16,VPUNPCKHWD
_mm_mask_unpackhi_epi16,VPUNPCKHWD
_mm_maskz_unpackhi_epi16,VPUNPCKHWD
_mm256_mask_unpacklo_epi8,VPUNPCKLBW
_mm256_maskz_unpacklo_epi8,VPUNPCKLBW
_mm512_mask_unpacklo_epi8,VPUNPCKLBW
_mm512_maskz_unpacklo_epi8,VPUNPCKLBW
_mm512_unpacklo_epi8,VPUNPCKLBW
_mm_mask_unpacklo_epi8,VPUNPCKLBW
_mm_maskz_unpacklo_epi8,VPUNPCKLBW
_mm256_mask_unpacklo_epi16,VPUNPCKLWD
_mm256_maskz_unpacklo_epi16,VPUNPCKLWD
_mm512_mask_unpacklo_epi16,VPUNPCKLWD
_mm512_maskz_unpacklo_epi16,VPUNPCKLWD
_mm512_unpacklo_epi16,VPUNPCKLWD
_mm_mask_unpacklo_epi16,VPUNPCKLWD
_mm_maskz_unpacklo_epi16,VPUNPCKLWD
_kadd_mask32,KADDD
_kadd_mask64,KADDQ
_kand_mask32,KANDD
_kand_mask64,KANDQ
_kandn_mask32,KANDND
_kandn_mask64,KANDNQ
_knot_mask32,KNOTD
_knot_mask64,KNOTQ
_kor_mask32,KORD
_kor_mask64,KORQ
_kxnor_mask32,KXNORD
_kxnor_mask64,KXNORQ
_kxor_mask32,KXORD
_kxor_mask64,KXORQ
_kshiftli_mask32,KSHIFTLD
_kshiftli_mask64,KSHIFTLQ
_kshiftri_mask32,KSHIFTRD
_kshiftri_mask64,KSHIFTRQ
_kortestz_mask32_u8,KORTESTD
_kortestc_mask32_u8,KORTESTD
_kortestz_mask64_u8,KORTESTQ
_kortestc_mask64_u8,KORTESTQ
_ktestz_mask32_u8,KTESTD
_ktestc_mask32_u8,KTESTD
_ktestz_mask64_u8,KTESTQ
_ktestc_mask64_u8,KTESTQ
_cvtmask32_u32,KMOVD
_cvtmask64_u64,KMOVQ
_cvtu32_mask32,KMOVD
_cvtu64_mask64,KMOVQ
_mm256_broadcastmb_epi64,VPBROADCASTMB2Q
_mm_broadcastmb_epi64,VPBROADCASTMB2Q
_mm256_broadcastmw_epi32,VPBROADCASTMW2D
_mm_broadcastmw_epi32,VPBROADCASTMW2D
_mm256_conflict_epi32,VPCONFLICTD
_mm256_mask_conflict_epi32,VPCONFLICTD
_mm256_maskz_conflict_epi32,VPCONFLICTD
_mm_conflict_epi32,VPCONFLICTD
_mm_mask_conflict_epi32,VPCONFLICTD
_mm_maskz_conflict_epi32,VPCONFLICTD
_mm256_conflict_epi64,VPCONFLICTQ
_mm256_mask_conflict_epi64,VPCONFLICTQ
_mm256_maskz_conflict_epi64,VPCONFLICTQ
_mm_conflict_epi64,VPCONFLICTQ
_mm_mask_conflict_epi64,VPCONFLICTQ
_mm_maskz_conflict_epi64,VPCONFLICTQ
_mm512_broadcastmb_epi64,VPBROADCASTMB2Q
_mm512_broadcastmw_epi32,VPBROADCASTMW2D
_mm512_conflict_epi32,VPCONFLICTD
_mm512_mask_conflict_epi32,VPCONFLICTD
_mm512_maskz_conflict_epi32,VPCONFLICTD
_mm512_conflict_epi64,VPCONFLICTQ
_mm512_mask_conflict_epi64,VPCONFLICTQ
_mm512_maskz_conflict_epi64,VPCONFLICTQ
_mm256_mask_andnot_pd,VANDNPD
_mm256_maskz_andnot_pd,VANDNPD
_mm512_andnot_pd,VANDNPD
_mm512_mask_andnot_pd,VANDNPD
_mm512_maskz_andnot_pd,VANDNPD
_mm_mask_andnot_pd,VANDNPD
_mm_maskz_andnot_pd,VANDNPD
_mm256_mask_andnot_ps,VANDNPS
_mm256_maskz_andnot_ps,VANDNPS
_mm512_andnot_ps,VANDNPS
_mm512_mask_andnot_ps,VANDNPS
_mm512_maskz_andnot_ps,VANDNPS
_mm_mask_andnot_ps,VANDNPS
_mm_maskz_andnot_ps,VANDNPS
_mm256_mask_and_pd,VANDPD
_mm256_maskz_and_pd,VANDPD
_mm512_and_pd,VANDPD
_mm512_mask_and_pd,VANDPD
_mm512_maskz_and_pd,VANDPD
_mm_mask_and_pd,VANDPD
_mm_maskz_and_pd,VANDPD
_mm256_mask_and_ps,VANDPS
_mm256_maskz_and_ps,VANDPS
_mm512_and_ps,VANDPS
_mm512_mask_and_ps,VANDPS
_mm512_maskz_and_ps,VANDPS
_mm_mask_and_ps,VANDPS
_mm_maskz_and_ps,VANDPS
_mm256_broadcast_f32x2,VBROADCASTF32X2
_mm256_mask_broadcast_f32x2,VBROADCASTF32X2
_mm256_maskz_broadcast_f32x2,VBROADCASTF32X2
_mm512_broadcast_f32x2,VBROADCASTF32X2
_mm512_mask_broadcast_f32x2,VBROADCASTF32X2
_mm512_maskz_broadcast_f32x2,VBROADCASTF32X2
_mm512_broadcast_f32x8,VBROADCASTF32X8
_mm512_mask_broadcast_f32x8,VBROADCASTF32X8
_mm512_maskz_broadcast_f32x8,VBROADCASTF32X8
_mm256_broadcast_f64x2,VBROADCASTF64X2
_mm256_mask_broadcast_f64x2,VBROADCASTF64X2
_mm256_maskz_broadcast_f64x2,VBROADCASTF64X2
_mm512_broadcast_f64x2,VBROADCASTF64X2
_mm512_mask_broadcast_f64x2,VBROADCASTF64X2
_mm512_maskz_broadcast_f64x2,VBROADCASTF64X2
_mm256_broadcast_i32x2,VBROADCASTI32X2
_mm256_mask_broadcast_i32x2,VBROADCASTI32X2
_mm256_maskz_broadcast_i32x2,VBROADCASTI32X2
_mm512_broadcast_i32x2,VBROADCASTI32X2
_mm512_mask_broadcast_i32x2,VBROADCASTI32X2
_mm512_maskz_broadcast_i32x2,VBROADCASTI32X2
_mm_broadcast_i32x2,VBROADCASTI32X2
_mm_mask_broadcast_i32x2,VBROADCASTI32X2
_mm_maskz_broadcast_i32x2,VBROADCASTI32X2
_mm512_broadcast_i32x8,VBROADCASTI32X8
_mm512_mask_broadcast_i32x8,VBROADCASTI32X8
_mm512_maskz_broadcast_i32x8,VBROADCASTI32X8
_mm256_broadcast_i64x2,VBROADCASTI64X2
_mm256_mask_broadcast_i64x2,VBROADCASTI64X2
_mm256_maskz_broadcast_i64x2,VBROADCASTI64X2
_mm512_broadcast_i64x2,VBROADCASTI64X2
_mm512_mask_broadcast_i64x2,VBROADCASTI64X2
_mm512_maskz_broadcast_i64x2,VBROADCASTI64X2
_mm256_cvtpd_epi64,VCVTPD2QQ
_mm256_mask_cvtpd_epi64,VCVTPD2QQ
_mm256_maskz_cvtpd_epi64,VCVTPD2QQ
_mm512_cvtpd_epi64,VCVTPD2QQ
_mm512_mask_cvtpd_epi64,VCVTPD2QQ
_mm512_maskz_cvtpd_epi64,VCVTPD2QQ
_mm_cvtpd_epi64,VCVTPD2QQ
_mm_mask_cvtpd_epi64,VCVTPD2QQ
_mm_maskz_cvtpd_epi64,VCVTPD2QQ
_mm256_cvtpd_epu64,VCVTPD2UQQ
_mm256_mask_cvtpd_epu64,VCVTPD2UQQ
_mm256_maskz_cvtpd_epu64,VCVTPD2UQQ
_mm512_cvtpd_epu64,VCVTPD2UQQ
_mm512_mask_cvtpd_epu64,VCVTPD2UQQ
_mm512_maskz_cvtpd_epu64,VCVTPD2UQQ
_mm_cvtpd_epu64,VCVTPD2UQQ
_mm_mask_cvtpd_epu64,VCVTPD2UQQ
_mm_maskz_cvtpd_epu64,VCVTPD2UQQ
_mm256_cvtps_epi64,VCVTPS2QQ
_mm256_mask_cvtps_epi64,VCVTPS2QQ
_mm256_maskz_cvtps_epi64,VCVTPS2QQ
_mm512_cvtps_epi64,VCVTPS2QQ
_mm512_mask_cvtps_epi64,VCVTPS2QQ
_mm512_maskz_cvtps_epi64,VCVTPS2QQ
_mm_cvtps_epi64,VCVTPS2QQ
_mm_mask_cvtps_epi64,VCVTPS2QQ
_mm_maskz_cvtps_epi64,VCVTPS2QQ
_mm256_cvtps_epu64,VCVTPS2UQQ
_mm256_mask_cvtps_epu64,VCVTPS2UQQ
_mm256_maskz_cvtps_epu64,VCVTPS2UQQ
_mm512_cvtps_epu64,VCVTPS2UQQ
_mm512_mask_cvtps_epu64,VCVTPS2UQQ
_mm512_maskz_cvtps_epu64,VCVTPS2UQQ
_mm_cvtps_epu64,VCVTPS2UQQ
_mm_mask_cvtps_epu64,VCVTPS2UQQ
_mm_maskz_cvtps_epu64,VCVTPS2UQQ
_mm256_cvtepi64_pd,VCVTQQ2PD
_mm256_mask_cvtepi64_pd,VCVTQQ2PD
_mm256_maskz_cvtepi64_pd,VCVTQQ2PD
_mm512_cvtepi64_pd,VCVTQQ2PD
_mm512_mask_cvtepi64_pd,VCVTQQ2PD
_mm512_maskz_cvtepi64_pd,VCVTQQ2PD
_mm_cvtepi64_pd,VCVTQQ2PD
_mm_mask_cvtepi64_pd,VCVTQQ2PD
_mm_maskz_cvtepi64_pd,VCVTQQ2PD
_mm256_cvtepi64_ps,VCVTQQ2PS
_mm256_mask_cvtepi64_ps,VCVTQQ2PS
_mm256_maskz_cvtepi64_ps,VCVTQQ2PS
_mm512_cvtepi64_ps,VCVTQQ2PS
_mm512_mask_cvtepi64_ps,VCVTQQ2PS
_mm512_maskz_cvtepi64_ps,VCVTQQ2PS
_mm_cvtepi64_ps,VCVTQQ2PS
_mm_mask_cvtepi64_ps,VCVTQQ2PS
_mm_maskz_cvtepi64_ps,VCVTQQ2PS
_mm256_cvttpd_epi64,VCVTTPD2QQ
_mm256_mask_cvttpd_epi64,VCVTTPD2QQ
_mm256_maskz_cvttpd_epi64,VCVTTPD2QQ
_mm512_cvttpd_epi64,VCVTTPD2QQ
_mm512_mask_cvttpd_epi64,VCVTTPD2QQ
_mm512_maskz_cvttpd_epi64,VCVTTPD2QQ
_mm_cvttpd_epi64,VCVTTPD2QQ
_mm_mask_cvttpd_epi64,VCVTTPD2QQ
_mm_maskz_cvttpd_epi64,VCVTTPD2QQ
_mm256_cvttpd_epu64,VCVTTPD2UQQ
_mm256_mask_cvttpd_epu64,VCVTTPD2UQQ
_mm256_maskz_cvttpd_epu64,VCVTTPD2UQQ
_mm512_cvttpd_epu64,VCVTTPD2UQQ
_mm512_mask_cvttpd_epu64,VCVTTPD2UQQ
_mm512_maskz_cvttpd_epu64,VCVTTPD2UQQ
_mm_cvttpd_epu64,VCVTTPD2UQQ
_mm_mask_cvttpd_epu64,VCVTTPD2UQQ
_mm_maskz_cvttpd_epu64,VCVTTPD2UQQ
_mm256_cvttps_epi64,VCVTTPS2QQ
_mm256_mask_cvttps_epi64,VCVTTPS2QQ
_mm256_maskz_cvttps_epi64,VCVTTPS2QQ
_mm512_cvttps_epi64,VCVTTPS2QQ
_mm512_mask_cvttps_epi64,VCVTTPS2QQ
_mm512_maskz_cvttps_epi64,VCVTTPS2QQ
_mm_cvttps_epi64,VCVTTPS2QQ
_mm_mask_cvttps_epi64,VCVTTPS2QQ
_mm_maskz_cvttps_epi64,VCVTTPS2QQ
_mm256_cvttps_epu64,VCVTTPS2UQQ
_mm256_mask_cvttps_epu64,VCVTTPS2UQQ
_mm256_maskz_cvttps_epu64,VCVTTPS2UQQ
_mm512_cvttps_epu64,VCVTTPS2UQQ
_mm512_mask_cvttps_epu64,VCVTTPS2UQQ
_mm512_maskz_cvttps_epu64,VCVTTPS2UQQ
_mm_cvttps_epu64,VCVTTPS2UQQ
_mm_mask_cvttps_epu64,VCVTTPS2UQQ
_mm_maskz_cvttps_epu64,VCVTTPS2UQQ
_mm256_cvtepu64_pd,VCVTUQQ2PD
_mm256_mask_cvtepu64_pd,VCVTUQQ2PD
_mm256_maskz_cvtepu64_pd,VCVTUQQ2PD
_mm512_cvtepu64_pd,VCVTUQQ2PD
_mm512_mask_cvtepu64_pd,VCVTUQQ2PD
_mm512_maskz_cvtepu64_pd,VCVTUQQ2PD
_mm_cvtepu64_pd,VCVTUQQ2PD
_mm_mask_cvtepu64_pd,VCVTUQQ2PD
_mm_maskz_cvtepu64_pd,VCVTUQQ2PD
_mm256_cvtepu64_ps,VCVTUQQ2PS
_mm256_mask_cvtepu64_ps,VCVTUQQ2PS
_mm256_maskz_cvtepu64_ps,VCVTUQQ2PS
_mm512_cvtepu64_ps,VCVTUQQ2PS
_mm512_mask_cvtepu64_ps,VCVTUQQ2PS
_mm512_maskz_cvtepu64_ps,VCVTUQQ2PS
_mm_cvtepu64_ps,VCVTUQQ2PS
_mm_mask_cvtepu64_ps,VCVTUQQ2PS
_mm_maskz_cvtepu64_ps,VCVTUQQ2PS
_mm512_extractf32x8_ps,VEXTRACTF32X8
_mm512_mask_extractf32x8_ps,VEXTRACTF32X8
_mm512_maskz_extractf32x8_ps,VEXTRACTF32X8
_mm256_extractf64x2_pd,VEXTRACTF64X2
_mm256_mask_extractf64x2_pd,VEXTRACTF64X2
_mm256_maskz_extractf64x2_pd,VEXTRACTF64X2
_mm512_extractf64x2_pd,VEXTRACTF64X2
_mm512_mask_extractf64x2_pd,VEXTRACTF64X2
_mm512_maskz_extractf64x2_pd,VEXTRACTF64X2
_mm512_extracti32x8_epi32,VEXTRACTI32X8
_mm512_mask_extracti32x8_epi32,VEXTRACTI32X8
_mm512_maskz_extracti32x8_epi32,VEXTRACTI32X8
_mm256_extracti64x2_epi64,VEXTRACTI64X2
_mm256_mask_extracti64x2_epi64,VEXTRACTI64X2
_mm256_maskz_extracti64x2_epi64,VEXTRACTI64X2
_mm512_extracti64x2_epi64,VEXTRACTI64X2
_mm512_mask_extracti64x2_epi64,VEXTRACTI64X2
_mm512_maskz_extracti64x2_epi64,VEXTRACTI64X2
_mm512_insertf32x8,VINSERTF32X8
_mm512_mask_insertf32x8,VINSERTF32X8
_mm512_maskz_insertf32x8,VINSERTF32X8
_mm256_insertf64x2,VINSERTF64X2
_mm256_mask_insertf64x2,VINSERTF64X2
_mm256_maskz_insertf64x2,VINSERTF64X2
_mm512_insertf64x2,VINSERTF64X2
_mm512_mask_insertf64x2,VINSERTF64X2
_mm512_maskz_insertf64x2,VINSERTF64X2
_mm512_inserti32x8,VINSERTI32X8
_mm512_mask_inserti32x8,VINSERTI32X8
_mm512_maskz_inserti32x8,VINSERTI32X8
_mm256_inserti64x2,VINSERTI64X2
_mm256_mask_inserti64x2,VINSERTI64X2
_mm256_maskz_inserti64x2,VINSERTI64X2
_mm512_inserti64x2,VINSERTI64X2
_mm512_mask_inserti64x2,VINSERTI64X2
_mm512_maskz_inserti64x2,VINSERTI64X2
_mm256_mask_or_pd,VORPD
_mm256_maskz_or_pd,VORPD
_mm512_mask_or_pd,VORPD
_mm512_maskz_or_pd,VORPD
_mm512_or_pd,VORPD
_mm_mask_or_pd,VORPD
_mm_maskz_or_pd,VORPD
_mm256_mask_or_ps,VORPS
_mm256_maskz_or_ps,VORPS
_mm512_mask_or_ps,VORPS
_mm512_maskz_or_ps,VORPS
_mm512_or_ps,VORPS
_mm_mask_or_ps,VORPS
_mm_maskz_or_ps,VORPS
_mm256_movepi32_mask,VPMOVD2M
